timestamp,load_mw,temperature,humidity,wind_speed,rainfall
2023-01-01 00:00:00,1000,25.0,60.0,5.0,0.0
2023-01-01 00:15:00,1050,24.5,61.0,4.8,0.0
2023-01-01 00:30:00,1100,24.0,62.0,4.6,0.0
2023-01-01 00:45:00,1150,23.5,63.0,4.4,0.0
2023-01-01 01:00:00,1200,23.0,64.0,4.2,0.0
2023-01-01 01:15:00,1250,22.5,65.0,4.0,0.0
2023-01-01 01:30:00,1300,22.0,66.0,3.8,0.0
2023-01-01 01:45:00,1350,21.5,67.0,3.6,0.0
2023-01-01 02:00:00,1400,21.0,68.0,3.4,0.0
2023-01-01 02:15:00,1450,20.5,69.0,3.2,0.0
2023-01-01 02:30:00,1500,20.0,70.0,3.0,0.0
2023-01-01 02:45:00,1550,19.5,71.0,2.8,0.0
2023-01-01 03:00:00,1600,19.0,72.0,2.6,0.0
2023-01-01 03:15:00,1650,18.5,73.0,2.4,0.0
2023-01-01 03:30:00,1700,18.0,74.0,2.2,0.0
2023-01-01 03:45:00,1750,17.5,75.0,2.0,0.0
2023-01-01 04:00:00,1800,17.0,76.0,1.8,0.0
2023-01-01 04:15:00,1850,16.5,77.0,1.6,0.0
2023-01-01 04:30:00,1900,16.0,78.0,1.4,0.0
2023-01-01 04:45:00,1950,15.5,79.0,1.2,0.0
2023-01-01 05:00:00,2000,15.0,80.0,1.0,0.0
2023-01-01 05:15:00,2050,14.5,81.0,0.8,0.0
2023-01-01 05:30:00,2100,14.0,82.0,0.6,0.0
2023-01-01 05:45:00,2150,13.5,83.0,0.4,0.0
2023-01-01 06:00:00,2200,13.0,84.0,0.2,0.0
2023-01-01 06:15:00,2250,12.5,85.0,0.0,0.0
2023-01-01 06:30:00,2300,12.0,86.0,0.0,0.0
2023-01-01 06:45:00,2350,11.5,87.0,0.0,0.0
2023-01-01 07:00:00,2400,11.0,88.0,0.0,0.0
2023-01-01 07:15:00,2450,10.5,89.0,0.0,0.0
2023-01-01 07:30:00,2500,10.0,90.0,0.0,0.0
2023-01-01 07:45:00,2550,9.5,91.0,0.0,0.0
2023-01-01 08:00:00,2600,9.0,92.0,0.0,0.0
2023-01-01 08:15:00,2650,8.5,93.0,0.0,0.0
2023-01-01 08:30:00,2700,8.0,94.0,0.0,0.0
2023-01-01 08:45:00,2750,7.5,95.0,0.0,0.0
2023-01-01 09:00:00,2800,7.0,96.0,0.0,0.0
2023-01-01 09:15:00,2850,6.5,97.0,0.0,0.0
2023-01-01 09:30:00,2900,6.0,98.0,0.0,0.0
2023-01-01 09:45:00,2950,5.5,99.0,0.0,0.0
2023-01-01 10:00:00,3000,5.0,100.0,0.0,0.0
2023-01-01 10:15:00,3050,4.5,100.0,0.0,0.0
2023-01-01 10:30:00,3100,4.0,100.0,0.0,0.0
2023-01-01 10:45:00,3150,3.5,100.0,0.0,0.0
2023-01-01 11:00:00,3200,3.0,100.0,0.0,0.0
2023-01-01 11:15:00,3250,2.5,100.0,0.0,0.0
2023-01-01 11:30:00,3300,2.0,100.0,0.0,0.0
2023-01-01 11:45:00,3350,1.5,100.0,0.0,0.0
2023-01-01 12:00:00,3400,1.0,100.0,0.0,0.0
2023-01-01 12:15:00,3450,0.5,100.0,0.0,0.0
2023-01-01 12:30:00,3500,0.0,100.0,0.0,0.0
2023-01-01 12:45:00,3550,-0.5,100.0,0.0,0.0
2023-01-01 13:00:00,3600,-1.0,100.0,0.0,0.0
2023-01-01 13:15:00,3650,-1.5,100.0,0.0,0.0
2023-01-01 13:30:00,3700,-2.0,100.0,0.0,0.0
2023-01-01 13:45:00,3750,-2.5,100.0,0.0,0.0
2023-01-01 14:00:00,3800,-3.0,100.0,0.0,0.0
2023-01-01 14:15:00,3850,-3.5,100.0,0.0,0.0
2023-01-01 14:30:00,3900,-4.0,100.0,0.0,0.0
2023-01-01 14:45:00,3950,-4.5,100.0,0.0,0.0
2023-01-01 15:00:00,4000,-5.0,100.0,0.0,0.0
2023-01-01 15:15:00,4050,-5.5,100.0,0.0,0.0
2023-01-01 15:30:00,4100,-6.0,100.0,0.0,0.0
2023-01-01 15:45:00,4150,-6.5,100.0,0.0,0.0
2023-01-01 16:00:00,4200,-7.0,100.0,0.0,0.0
2023-01-01 16:15:00,4250,-7.5,100.0,0.0,0.0
2023-01-01 16:30:00,4300,-8.0,100.0,0.0,0.0
2023-01-01 16:45:00,4350,-8.5,100.0,0.0,0.0
2023-01-01 17:00:00,4400,-9.0,100.0,0.0,0.0
2023-01-01 17:15:00,4450,-9.5,100.0,0.0,0.0
2023-01-01 17:30:00,4500,-10.0,100.0,0.0,0.0
2023-01-01 17:45:00,4550,-10.5,100.0,0.0,0.0
2023-01-01 18:00:00,4600,-11.0,100.0,0.0,0.0
2023-01-01 18:15:00,4650,-11.5,100.0,0.0,0.0
2023-01-01 18:30:00,4700,-12.0,100.0,0.0,0.0
2023-01-01 18:45:00,4750,-12.5,100.0,0.0,0.0
2023-01-01 19:00:00,4800,-13.0,100.0,0.0,0.0
2023-01-01 19:15:00,4850,-13.5,100.0,0.0,0.0
2023-01-01 19:30:00,4900,-14.0,100.0,0.0,0.0
2023-01-01 19:45:00,4950,-14.5,100.0,0.0,0.0
2023-01-01 20:00:00,5000,-15.0,100.0,0.0,0.0
2023-01-01 20:15:00,5050,-15.5,100.0,0.0,0.0
