timestamp,load_mw,temperature,humidity,wind_speed,rainfall,is_holiday
2021-01-01 00:30:00,1999.0766666666664,7.699999999999999,84.0,4.15,0.0,0
2021-01-01 00:45:00,1952.006666666667,7.899999999999999,83.0,3.475,0.0,0
2021-01-01 01:00:00,1882.1333333333328,8.1,82.0,2.8,0.0,0
2021-01-01 01:15:00,1822.8666666666668,7.675,83.0,3.25,0.0,0
2021-01-01 01:30:00,1779.1333333333332,7.25,84.0,3.7,0.0,0
2021-01-01 01:45:00,1738.2266666666667,6.825,85.0,4.15,0.0,0
2021-01-01 02:00:00,1707.763333333333,6.4,86.0,4.6,0.0,0
2021-01-01 02:15:00,1681.256666666667,6.7,84.75,4.475,0.0,0
2021-01-01 02:30:00,1646.5633333333333,7.0,83.5,4.35,0.0,0
2021-01-01 02:45:00,1628.0733333333335,7.3,82.25,4.225,0.0,0
2021-01-01 03:00:00,1610.79,7.6,81.0,4.1,0.0,0
2021-01-01 03:15:00,1604.22,7.225,82.25,4.574999999999999,0.0,0
2021-01-01 03:30:00,1605.91,6.85,83.5,5.05,0.0,0
2021-01-01 03:45:00,1608.4066666666668,6.475,84.75,5.525,0.0,0
2021-01-01 04:00:00,1629.33,6.1,86.0,6.0,0.0,0
2021-01-01 04:15:00,1654.1166666666668,5.525,88.5,5.675,0.0,0
2021-01-01 04:30:00,1687.0166666666669,4.949999999999999,91.0,5.35,0.0,0
2021-01-01 04:45:00,1735.65,4.375,93.5,5.025,0.0,0
2021-01-01 05:00:00,1813.0466666666664,3.8,96.0,4.7,0.0,0
2021-01-01 05:15:00,1922.2,3.725,96.75,4.325,0.0,0
2021-01-01 05:30:00,2039.49,3.65,97.5,3.95,0.0,0
2021-01-01 05:45:00,2180.693333333333,3.575,98.25,3.575,0.0,0
2021-01-01 06:00:00,2343.273333333333,3.5,99.0,3.2,0.0,0
2021-01-01 06:15:00,2541.846666666667,3.575,99.0,2.975,0.0,0
2021-01-01 06:30:00,2768.056666666667,3.65,99.0,2.75,0.0,0
2021-01-01 06:45:00,2955.153333333333,3.725,99.0,2.525,0.0,0
2021-01-01 07:00:00,3180.4500000000003,3.8,99.0,2.3,0.0,0
2021-01-01 07:15:00,3437.0333333333333,4.15,98.5,2.125,0.0,0
2021-01-01 07:30:00,3665.61,4.5,98.0,1.95,0.0,0
2021-01-01 07:45:00,3825.306666666667,4.85,97.5,1.775,0.0,0
2021-01-01 08:00:00,4027.226666666667,5.2,97.0,1.6,0.0,0
2021-01-01 08:15:00,4165.73,5.95,94.75,1.525,0.0,0
2021-01-01 08:30:00,4316.593333333333,6.699999999999999,92.5,1.4500000000000002,0.0,0
2021-01-01 08:45:00,4337.61,7.449999999999999,90.25,1.375,0.0,0
2021-01-01 09:00:00,4435.21,8.2,88.0,1.3,0.0,0
2021-01-01 09:15:00,4561.286666666667,9.025,85.25,1.85,0.0,0
2021-01-01 09:30:00,4707.686666666667,9.85,82.5,2.4000000000000004,0.0,0
2021-01-01 09:45:00,4811.206666666666,10.675,79.75,2.95,0.0,0
2021-01-01 10:00:00,4838.13,11.5,77.0,3.5,0.0,0
2021-01-01 10:15:00,4896.526666666668,12.225,72.75,4.1,0.0,0
2021-01-01 10:30:00,4960.373333333334,12.95,68.5,4.7,0.0,0
2021-01-01 10:45:00,4939.74,13.675,64.25,5.300000000000001,0.0,0
2021-01-01 11:00:00,4889.026666666668,14.4,60.0,5.9,0.0,0
2021-01-01 11:15:00,4919.246666666667,14.8,58.25,6.3500000000000005,0.0,0
2021-01-01 11:30:00,4943.33,15.2,56.5,6.800000000000001,0.0,0
2021-01-01 11:45:00,4919.62,15.6,54.75,7.25,0.0,0
2021-01-01 12:00:00,4814.0633333333335,16.0,53.0,7.7,0.0,0
2021-01-01 12:15:00,4752.873333333333,16.275,51.75,7.675,0.0,0
2021-01-01 12:30:00,4693.136666666666,16.55,50.5,7.65,0.0,0
2021-01-01 12:45:00,4562.64,16.825000000000003,49.25,7.625,0.0,0
2021-01-01 13:00:00,4351.213333333333,17.1,48.0,7.6,0.0,0
2021-01-01 13:15:00,4199.266666666666,17.3,47.25,7.5,0.0,0
2021-01-01 13:30:00,4053.9,17.5,46.5,7.4,0.0,0
2021-01-01 13:45:00,4009.1,17.7,45.75,7.3,0.0,0
2021-01-01 14:00:00,3920.896666666667,17.9,45.0,7.2,0.0,0
2021-01-01 14:15:00,3852.8433333333337,17.924999999999997,44.75,7.025,0.0,0
2021-01-01 14:30:00,3781.823333333333,17.95,44.5,6.85,0.0,0
2021-01-01 14:45:00,3677.1866666666665,17.975,44.25,6.675,0.0,0
