timestamp,temperature,humidity,wind_speed,rainfall
2021-01-01 00:00:00,7.3,86.0,5.5,0.0
2021-01-01 00:15:00,7.5,85.0,4.825,0.0
2021-01-01 00:30:00,7.699999999999999,84.0,4.15,0.0
2021-01-01 00:45:00,7.8999999999999995,83.0,3.4749999999999996,0.0
2021-01-01 01:00:00,8.1,82.0,2.8,0.0
2021-01-01 01:15:00,7.675,83.0,3.25,0.0
2021-01-01 01:30:00,7.25,84.0,3.6999999999999997,0.0
2021-01-01 01:45:00,6.825,85.0,4.1499999999999995,0.0
2021-01-01 02:00:00,6.4,86.0,4.6,0.0
2021-01-01 02:15:00,6.7,84.75,4.475,0.0
2021-01-01 02:30:00,7.0,83.5,4.35,0.0
2021-01-01 02:45:00,7.3,82.25,4.225,0.0
2021-01-01 03:00:00,7.6,81.0,4.1,0.0
2021-01-01 03:15:00,7.225,82.25,4.574999999999999,0.0
2021-01-01 03:30:00,6.85,83.5,5.05,0.0
2021-01-01 03:45:00,6.475,84.75,5.525,0.0
2021-01-01 04:00:00,6.1,86.0,6.0,0.0
2021-01-01 04:15:00,5.5249999999999995,88.5,5.675,0.0
2021-01-01 04:30:00,4.949999999999999,91.0,5.35,0.0
2021-01-01 04:45:00,4.375,93.5,5.025,0.0
2021-01-01 05:00:00,3.8,96.0,4.7,0.0
2021-01-01 05:15:00,3.7249999999999996,96.75,4.325,0.0
2021-01-01 05:30:00,3.65,97.5,3.95,0.0
2021-01-01 05:45:00,3.575,98.25,3.575,0.0
2021-01-01 06:00:00,3.5,99.0,3.2,0.0
2021-01-01 06:15:00,3.575,99.0,2.975,0.0
2021-01-01 06:30:00,3.65,99.0,2.75,0.0
2021-01-01 06:45:00,3.7249999999999996,99.0,2.525,0.0
2021-01-01 07:00:00,3.8,99.0,2.3,0.0
2021-01-01 07:15:00,4.15,98.5,2.125,0.0
2021-01-01 07:30:00,4.5,98.0,1.95,0.0
2021-01-01 07:45:00,4.85,97.5,1.775,0.0
2021-01-01 08:00:00,5.2,97.0,1.6,0.0
2021-01-01 08:15:00,5.95,94.75,1.5250000000000001,0.0
2021-01-01 08:30:00,6.699999999999999,92.5,1.4500000000000002,0.0
2021-01-01 08:45:00,7.449999999999999,90.25,1.375,0.0
2021-01-01 09:00:00,8.2,88.0,1.3,0.0
2021-01-01 09:15:00,9.024999999999999,85.25,1.85,0.0
2021-01-01 09:30:00,9.85,82.5,2.4000000000000004,0.0
2021-01-01 09:45:00,10.675,79.75,2.95,0.0
2021-01-01 10:00:00,11.5,77.0,3.5,0.0
2021-01-01 10:15:00,12.225,72.75,4.1,0.0
2021-01-01 10:30:00,12.95,68.5,4.7,0.0
2021-01-01 10:45:00,13.675,64.25,5.300000000000001,0.0
2021-01-01 11:00:00,14.4,60.0,5.9,0.0
2021-01-01 11:15:00,14.8,58.25,6.3500000000000005,0.0
2021-01-01 11:30:00,15.2,56.5,6.800000000000001,0.0
2021-01-01 11:45:00,15.6,54.75,7.25,0.0
2021-01-01 12:00:00,16.0,53.0,7.7,0.0
2021-01-01 12:15:00,16.275,51.75,7.675,0.0
2021-01-01 12:30:00,16.55,50.5,7.65,0.0
2021-01-01 12:45:00,16.825000000000003,49.25,7.625,0.0
2021-01-01 13:00:00,17.1,48.0,7.6,0.0
2021-01-01 13:15:00,17.3,47.25,7.5,0.0
2021-01-01 13:30:00,17.5,46.5,7.4,0.0
2021-01-01 13:45:00,17.7,45.75,7.3,0.0
2021-01-01 14:00:00,17.9,45.0,7.2,0.0
2021-01-01 14:15:00,17.924999999999997,44.75,7.025,0.0
2021-01-01 14:30:00,17.95,44.5,6.85,0.0
2021-01-01 14:45:00,17.975,44.25,6.675,0.0
2021-01-01 15:00:00,18.0,44.0,6.5,0.0
2021-01-01 15:15:00,17.875,44.75,6.35,0.0
2021-01-01 15:30:00,17.75,45.5,6.2,0.0
2021-01-01 15:45:00,17.625,46.25,6.050000000000001,0.0
2021-01-01 16:00:00,17.5,47.0,5.9,0.0
2021-01-01 16:15:00,16.35,51.25,6.7,0.0
2021-01-01 16:30:00,15.2,55.5,7.5,0.0
2021-01-01 16:45:00,14.05,59.75,8.3,0.0
2021-01-01 17:00:00,12.9,64.0,9.1,0.0
2021-01-01 17:15:00,12.65,65.25,9.05,0.0
2021-01-01 17:30:00,12.4,66.5,9.0,0.0
2021-01-01 17:45:00,12.15,67.75,8.95,0.0
